gene	high_median	low_median	logCPM_difference	p_value	fdr
RP11-690C23.2	0.0	0.0	0.0	0.367933547923297	0.528679045220228
WFDC13	0.0	0.0	0.0	0.367933547923297	0.528679045220228
MIR548K	0.0	0.0	0.0	0.367933547923297	0.528679045220228
LOC101929492	0.0	0.0	0.0	0.367933547923297	0.528679045220228
PPIAL4D	0.0	0.0	0.0	0.367933547923297	0.528679045220228
RP5-944M2.3	0.0	0.0	0.0	0.367933547923297	0.528679045220228
SLC35D3	0.0	0.0	0.0	0.367933547923297	0.528679045220228
MS4A10	0.0	0.0	0.0	0.367933547923297	0.528679045220228
SPACA5	0.0	0.0	0.0	0.367933547923297	0.528679045220228
MIR6077-2	0.0	0.0	0.0	0.367933547923297	0.528679045220228
LOC102723846	0.0	0.0	0.0	0.367933547923297	0.528679045220228
CSHL1	0.0	0.0	0.0	0.367933547923297	0.528679045220228
LOC642249	0.0	0.0	0.0	0.367933547923297	0.528679045220228
C11orf53	0.06173684237844565	0.04023822661838225	0.0214986157600634	0.36773755658773977	0.528679045220228
LOC102723914	0.0	0.0	0.0	0.367933547923297	0.528679045220228
HRASLS2	0.0593593586055026	0.044841613496265254	0.014517745109237347	0.36816499681665893	0.5289427802640693
AC005550.4	0.188464912235245	0.1096535761566612	0.0788113360785838	0.36816499681665893	0.5289427802640693
RBP4	0.10635355382979415	0.05485705904240345	0.051496494787390705	0.36816499681665893	0.5289427802640693
DUSP13	0.02450787453428695	0.0	0.02450787453428695	0.3683826807433733	0.5292325736102431
LOC100505940	0.0	0.0	0.0	0.36969921669268657	0.531100925979528
EPB41L4A-AS2	0.12714590044630208	0.1159911680972084	0.011154732349093685	0.37000756996485795	0.5315208483372023
LHX8	0.0	0.0	0.0	0.3702445655551291	0.5318151712158186
REN	0.0	0.0	0.0	0.3702445655551291	0.5318151712158186
TRNC	0.0	0.0	0.0	0.3703683060691876	0.5319237158832824
DSTNP4	0.0	0.0	0.0	0.3703683060691876	0.5319237158832824
MAGEA8	0.0	0.0	0.0	0.3703683060691876	0.5319237158832824
LOC100507165	0.23366531543535335	0.2457018254365979	-0.01203651000124456	0.3708300316150629	0.5325637573606422
KIAA0087	0.0	0.0	0.0	0.37115055549088427	0.5329778611579258
LOC100133050	0.0	0.0	0.0	0.37115055549088427	0.5329778611579258
KRTAP5-9	0.07965563868642081	0.05563497750787405	0.02402066117854676	0.37116666735429404	0.532977893397128
HSPB2	0.5764936443025542	0.4871931501951242	0.08930049410743002	0.3715266878007888	0.5334717407927582
NUDT14	2.4084074297622333	2.0696762659161028	0.33873116384613056	0.37181289837470965	0.533813291360492
TRNW	4.331992218215241	4.833934973533076	-0.5019427553178346	0.37181289837470965	0.533813291360492
SWI5	3.0588683305620274	3.003862239803299	0.05500609075872864	0.37180472616192184	0.533813291360492
LOC101928948	0.03028269568466705	0.0	0.03028269568466705	0.37254861733150246	0.5348232068352481
CEACAM22P	0.02450787453428695	0.0	0.02450787453428695	0.37254861733150246	0.5348232068352481
SLC25A2	0.0	0.0	0.0	0.3728827393188534	0.5352796681693681
LGALS12	0.05652455514507	0.01769388493844005	0.03883067020662995	0.37370478218509773	0.5364132340178328
KCNQ2	0.0530993035504501	0.01769388493844005	0.03540541861201005	0.37370478218509773	0.5364132340178328
IRX1	0.1082348127481744	0.10014842378073491	0.00808638896743949	0.37403502109723574	0.5368639936248117
LOC101929256	0.0	0.0	0.0	0.37421208767936287	0.5370716007307558
LOC101930053	0.0	0.0	0.0	0.37421208767936287	0.5370716007307558
LOC101928473	0.0	0.0	0.0	0.3756960807467461	0.5391080082658312
PSG11	0.0	0.0	0.0	0.3756960807467461	0.5391080082658312
LOC101927103	0.0	0.0	0.0	0.3756960807467461	0.5391080082658312
ASB11	0.0	0.0	0.0	0.3756960807467461	0.5391080082658312
LINC00669	0.0	0.0	0.0	0.3766292373242335	0.5404236383783486
LOC100132741	0.0	0.0	0.0	0.37679578472410713	0.5406391980235965
RP11-432I5.1	0.10456161559850395	0.08391590812869	0.02064570746981395	0.3771007739039324	0.5410533712899196
PPP1R17	0.02364524458239505	0.0	0.02364524458239505	0.37823746449862106	0.5426607583256668
GNAS-AS1	0.2577784984239679	0.2285044991445151	0.02927399927945279	0.3783112645980222	0.5427431334375956
CNTD2	0.07965563868642081	0.15070128240921538	-0.07104564372279457	0.3785590831315786	0.5430751456332196
RP11-317M11.1	0.0	0.0	0.0	0.37920518184593266	0.5439784710648001
PKD1L2	0.057551944110603	0.01769388493844005	0.03985805917216295	0.37930170048634804	0.5440698073227143
C1QL1	0.0637912251883595	0.01982800693886135	0.04396321824949816	0.37930170048634804	0.5440698073227143
RP5-887A10.1	0.136285253253391	0.30067223355792383	-0.16438698030453283	0.379523954632914	0.5443650366386624
MPL	0.17826978070613192	0.13116986137991396	0.04709991932621796	0.38019557965620154	0.5453047615037813
JUND	6.144795233354957	6.397662306862196	-0.2528670735072387	0.3806518668271285	0.5458410346095606
POLR2J	5.002782166106641	4.88874524069387	0.11403692541277088	0.3806518668271285	0.5458410346095606
TP53TG1	2.4700191506640214	2.3669866960022166	0.10303245466180488	0.3806193072025005	0.5458410346095606
C2orf81	1.7151883663066736	1.567951116187618	0.14723725011905553	0.3806193072025005	0.5458410346095606
RPL27A	9.946564329951372	9.710139233547823	0.2364250964035488	0.3806518668271285	0.5458410346095606
H2BFM	0.0	0.0	0.0	0.38109517936264725	0.5464530738276795
C8orf49	0.0	0.0	0.0	0.38163492516697395	0.5472033299173777
MPPED2	0.05441226243459425	0.03504993935829525	0.019362323076299003	0.38172755277344694	0.5473124529593665
GABRP	0.0521951237966468	0.0	0.0521951237966468	0.3820899552029966	0.5478083469402496
LOC101929117	0.0	0.0	0.0	0.3823885533882275	0.5482127248134002
RP11-465B22.5	0.0	0.0	0.0	0.38278824304790104	0.5487619915698606
LPPR3	0.0	0.0	0.0	0.3828191851991517	0.5487826003508351
CCDC33	0.0	0.0	0.0	0.3829914206409534	0.5489582363442612
SSX6	0.0	0.0	0.0	0.3829914206409534	0.5489582363442612
LINC00452	0.0	0.0	0.0	0.3829914206409534	0.5489582363442612
RP1-40E16.9	0.02450787453428695	0.0	0.02450787453428695	0.3831487434834375	0.5491599721630475
KRT6A	0.0	0.0	0.0	0.38362221492231663	0.5497434457309509
C3orf43	0.0	0.0	0.0	0.38362221492231663	0.5497434457309509
KRT34	0.0	0.0	0.0	0.38362221492231663	0.5497434457309509
TRNAK3	0.0	0.0	0.0	0.38362221492231663	0.5497434457309509
DOK7	0.6316111937759294	0.28116251108352597	0.3504486826924035	0.38377511395587416	0.5499387647576367
LOC729080	0.10773313766474976	0.0510192068963131	0.056713930768436664	0.38403626260280377	0.55026537631301
TIMP4	0.12025397316890155	0.0691882982110341	0.051065674957867443	0.38403626260280377	0.55026537631301
LOC102724728	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
LOC101929322	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
TRNAL13	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
RNASEK-C17orf49	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
LOC101928579	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
LOC442028	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
RP11-778H2.1	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
LOC100131303	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
FAM169B	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
AC005022.1	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
LOC101928917	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
ITIH6	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
RP11-513O17.2-2	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
C11orf87	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
LOC102723649	0.0	0.0	0.0	0.3842935499092084	0.5503005112540386
LINC00656	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
NPY4R	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
LOC101927446	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
MRGPRX2	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
MIR760	0.0	0.0	0.0	0.3843930305472196	0.5503005112540386
GJC2	0.3439415911342476	0.2780330980372193	0.06590849309702829	0.3848349189281913	0.5508855072993935
SNORA76	0.3278363632088475	0.302024130829583	0.0258122323792645	0.3848349189281913	0.5508855072993935
FAM71E2	0.0	0.0	0.0	0.385569856947777	0.5519137101915159
LOC100996643	0.050041768660816055	0.0	0.050041768660816055	0.3858899914847298	0.5523480904776027
TRNAD16	0.056446506792892245	0.0	0.056446506792892245	0.3877824936284029	0.5550329624928481
RIMBP3C	0.16566162263716183	0.17916736215096846	-0.013505739513806625	0.38782876662563726	0.5550752094724933
RP11-893F2.6	0.0	0.0	0.0	0.38801253239619526	0.5552902383961794
LOC101928255	0.0	0.0	0.0	0.38801253239619526	0.5552902383961794
HS6ST3	0.0	0.0	0.0	0.3885601641319085	0.5559551696287495
FUT5	0.0	0.0	0.0	0.3885601641319085	0.5559551696287495
LOC101929462	0.0	0.0	0.0	0.3885601641319085	0.5559551696287495
RSPH6A	0.0	0.0	0.0	0.3885601641319085	0.5559551696287495
CLLU1OS	0.1839276581826818	0.0584117448386372	0.1255159133440446	0.3885610724882209	0.5559551696287495
KCNA5	0.1000120029597807	0.07705676296127914	0.02295523999850156	0.38858125162058343	0.5559600285571393
LOC339862	0.0	0.0	0.0	0.3888616772222714	0.5561930880684354
LOC102724587	0.0	0.0	0.0	0.3888616772222714	0.5561930880684354
LOC100132813	0.0	0.0	0.0	0.3888616772222714	0.5561930880684354
OPN1SW	0.0	0.0	0.0	0.3888616772222714	0.5561930880684354
LOC101928632	0.0	0.0	0.0	0.3888616772222714	0.5561930880684354
GML	0.0	0.0	0.0	0.3888616772222714	0.5561930880684354
OLIG3	0.0	0.0	0.0	0.3888616772222714	0.5561930880684354
LOC102724312	0.22159205277234734	0.18461941429962692	0.03697263847272042	0.38893708891630707	0.5562769313691804
SOX8	1.0588208994382247	0.560259974073894	0.4985609253643306	0.38916454925035926	0.5565541967131805
SLC5A11	0.17188705563545886	0.0914126540175822	0.08047440161787667	0.38916454925035926	0.5565541967131805
LOC102723958	0.11194323943758136	0.05498563039201865	0.05695760904556271	0.38931584571239963	0.556746533632747
C9orf169	0.43660124229817276	0.45851103511683766	-0.021909792818664897	0.3894566366485469	0.5568757519583789
LOC102724930	0.5511600620639441	0.4012451407864349	0.14991492127750916	0.3894566366485469	0.5568757519583789
AK8	0.5091279558337487	0.4673194281969844	0.04180852763676429	0.3894566366485469	0.5568757519583789
ZNF444	3.767909631418294	3.7482199448721927	0.01968968654610137	0.3896106301577956	0.5569392471975054
IGJ	4.669672562279446	4.7770988940704875	-0.10742633179104111	0.38958632290569895	0.5569392471975054
PGLS	5.141004560072288	4.898982960459657	0.24202159961263092	0.3896187319493748	0.5569392471975054
ZBTB48	4.464249672708354	4.273048220153094	0.19120145255525944	0.3896106301577956	0.5569392471975054
CCER2	0.48564482775260764	0.3900820392539024	0.09556278849870525	0.38953769995165466	0.5569392471975054
FXYD1	0.9911850563292	1.135712938437722	-0.14452788210852208	0.38958632290569895	0.5569392471975054
SAC3D1	2.7877247120662867	2.6850078858039135	0.10271682626237322	0.3896106301577956	0.5569392471975054
FAM154A	0.0	0.0	0.0	0.39000914462128766	0.5574732653602924
C10orf67	0.0	0.03578605184790625	-0.03578605184790625	0.39177968931590423	0.5599557314699333
LOC101927772	0.052384286248776446	0.0	0.052384286248776446	0.39177968931590423	0.5599557314699333
RP11-475O6.1-2	0.0	0.0	0.0	0.39213884542342126	0.5604448784837455
LOC100128325	0.02450787453428695	0.043455876933178955	-0.018948002398892005	0.3925459733915032	0.561002541721685
LOC102577426	0.0	0.0	0.0	0.3931623625188845	0.5618592071096017
WFDC1	0.36356204401038594	0.2840278061247299	0.07953423788565606	0.3938669174938705	0.5628417889177323
DYNLRB2	0.0874843238519404	0.0500854726661717	0.037398851185768696	0.394149837227344	0.5632217888013543
PRSS22	0.0	0.0	0.0	0.39456044717773253	0.56371126426333
LRRC9	0.0	0.0	0.0	0.39456044717773253	0.56371126426333
LOC100505938	0.0	0.0	0.0	0.39456044717773253	0.56371126426333
LINC01124	0.0	0.0	0.0	0.39456044717773253	0.56371126426333
LOC100133920	0.0	0.0	0.0	0.39464687614459737	0.5637861143335317
LOC644249	0.0	0.0	0.0	0.39464687614459737	0.5637861143335317
MTRNR2L1	0.0	0.0	0.0	0.39482968938413865	0.5640229544412858
LOC101928075	0.0770858938769038	0.0	0.0770858938769038	0.39544638215726824	0.5648795539172776
ALB	0.05415699226912675	0.0	0.05415699226912675	0.39555981825494657	0.5650172282141073
LOC101928572	0.166795750854521	0.17257135471919666	-0.005775603864675655	0.39575836883849336	0.5652764628382171
CDX1	0.5084408026119112	0.24663660743042753	0.2618041951814836	0.39693224717496156	0.5669042692040086
TREML1	0.23488460403890915	0.13816032451802926	0.09672427952087989	0.39693224717496156	0.5669042692040086
MIR4644	0.0	0.0	0.0	0.3971625562060499	0.5672087448537017
ZMIZ1-AS1	0.20682640654655784	0.16849941430976356	0.03832699223679428	0.39737885205139367	0.5674931821458211
AC108142.1	0.0	0.0	0.0	0.39742560858010734	0.5675354877710322
C21orf15	0.2899692594352332	0.18712288438542576	0.10284637504980745	0.3980348267593806	0.5683809669467731
LOC100129055	0.0	0.0	0.0	0.39819696830242934	0.5684654702631561
CXorf22	0.0	0.0	0.0	0.39819696830242934	0.5684654702631561
LOC645202	0.0	0.0	0.0	0.39819696830242934	0.5684654702631561
LOC100996342	0.0	0.0	0.0	0.39819696830242934	0.5684654702631561
AGBL5-AS1	0.0	0.0	0.0	0.3981295291254786	0.5684654702631561
LOC102724583	0.0	0.0	0.0	0.39819696830242934	0.5684654702631561
TULP1	0.02417384907199635	0.0	0.02417384907199635	0.3982155607419787	0.5684675141193185
TSHR	0.3059320782009569	0.2185625685726752	0.08736950962828172	0.39826109958708755	0.5685080231372
MIR143HG	0.36187086533022617	0.3116494826283474	0.05022138270187876	0.3985516576260709	0.5688737595019486
POM121L1P	0.369924097228055	0.310925956088539	0.058998141139516014	0.3985516576260709	0.5688737595019486
GFAP	0.06221592403606	0.05625843197593905	0.005957492060120952	0.3985894786351525	0.5689032301808807
RPL21	9.362403416614669	9.361876967862642	0.0005264487520264538	0.3987129020431295	0.5690303559984795
ZFAND2B	4.230635008486409	4.081326589395184	0.14930841909122528	0.39870484281669005	0.5690303559984795
LOC100288181	0.0542977505908621	0.0126274781454911	0.041670272445371	0.39901838397474587	0.5694417968097291
MIR1247	0.0	0.0	0.0	0.3994106673083603	0.5699770716950304
